ind,pop,BM4513,BM4513,BM1009,BM1009,IGF,IGF,AF102257,AF102257,BM4107,BM4107,BM1225,BM1225,BM848,BM848,BM5004,BM5004,BL42,BL42
ERE_15,2,127,127,288,288,227,229,291,307,166,172,257,261,359,361,133,137,247,255
ERE_16,2,121,127,286,288,227,229,307,307,160,172,257,261,359,359,137,137,247,247
ERE_17,1,127,127,288,288,229,229,307,307,172,172,257,261,359,359,133,137,247,247
ERE_18,2,127,127,288,288,227,229,303,303,172,172,261,261,355,355,137,137,247,247
ERE_19,2,121,127,288,290,229,229,291,303,160,172,251,257,359,359,133,137,247,247
ERE_20,2,121,127,274,286,227,227,303,307,160,172,261,261,359,359,137,137,247,255
ERE_21,2,127,127,288,288,227,227,291,307,160,172,249,261,359,359,133,137,247,255
ERE_22,2,127,127,274,288,227,229,291,303,172,172,261,261,359,361,137,137,247,247
ERE_23,2,125,127,288,288,227,229,303,303,166,172,249,257,359,361,133,133,247,247
ERE_24,1,127,127,288,288,229,229,307,307,160,172,261,261,359,361,137,137,247,247
ERE_25,2,127,127,274,288,229,229,303,303,166,172,257,257,359,359,133,137,247,247
ERE_26,1,121,127,288,288,227,229,303,307,172,172,261,261,355,359,133,133,247,255
ERE_27,1,121,127,286,288,227,227,303,307,172,172,257,257,359,361,133,137,255,255
ERE_28,2,127,127,274,288,229,229,291,291,172,172,261,261,359,361,137,137,247,247
ERE_29,1,121,127,288,288,229,229,307,307,172,172,261,261,359,359,133,137,247,255
ERE_30,1,127,127,288,288,227,227,291,291,160,172,261,261,359,359,137,137,247,247
ERE_31,1,127,127,288,288,227,227,303,307,160,172,257,261,359,359,137,137,247,255
ERE_32,1,127,127,274,288,227,229,291,307,166,172,249,257,359,361,133,137,247,247
