"","dyad","indv1","ind2","Estimator","Relatedness","CI2.5","CI97.5"
"1",139,"VE_27","VE_28","trioML",0,0,0.2187
"2",78,"VE_20","VE_23","trioML",0,0,0
"3",141,"VE_27","VE_30","trioML",0,0,0.1555
"4",57,"VE_18","VE_27","trioML",0,0,0
"5",120,"VE_24","VE_27","trioML",0,0,0.3188
"6",113,"VE_23","VE_28","trioML",0,0,0.2275
"7",115,"VE_23","VE_30","trioML",0,0,0
"8",62,"VE_18","VE_32","trioML",0,0,0.041
"9",91,"VE_21","VE_25","trioML",0,0,0.2479
"10",130,"VE_25","VE_30","trioML",0,0,0.2422
"11",109,"VE_23","VE_24","trioML",0,0,0.5191
"12",49,"VE_18","VE_19","trioML",0,0,0.2091
"13",114,"VE_23","VE_29","trioML",0,0,0
"14",63,"VE_19","VE_20","trioML",0.0164,0,0.4924
"15",80,"VE_20","VE_25","trioML",0,0,0.2418
"16",36,"VE_17","VE_20","trioML",0,0,0.1081
"17",24,"VE_16","VE_23","trioML",0,0,0
"18",53,"VE_18","VE_23","trioML",0.0901,0,0.6486
"19",146,"VE_28","VE_31","trioML",0,0,0.0714
"20",83,"VE_20","VE_28","trioML",0,0,0.466
"21",50,"VE_18","VE_20","trioML",0,0,0.3707
"22",51,"VE_18","VE_21","trioML",0,0,0.0261
"23",19,"VE_16","VE_18","trioML",0,0,0.3806
"24",134,"VE_26","VE_28","trioML",0,0,0.1036
"25",70,"VE_19","VE_27","trioML",0,0,0.3362
"26",136,"VE_26","VE_30","trioML",0,0,0.2564
"27",103,"VE_22","VE_27","trioML",0,0,0.4938
"28",129,"VE_25","VE_29","trioML",0,0,0.282
"29",127,"VE_25","VE_27","trioML",0.0468,0,0.4512
"30",43,"VE_17","VE_27","trioML",0,0,0.3678
"31",118,"VE_24","VE_25","trioML",0,0,0.3627
"32",87,"VE_20","VE_32","trioML",0,0,0.0789
"33",126,"VE_25","VE_26","trioML",0,0,0.0979
"34",67,"VE_19","VE_24","trioML",0,0,0.4431
"35",3,"VE_15","VE_18","trioML",0,0,0.1567
"36",99,"VE_22","VE_23","trioML",0,0,0.4
"37",55,"VE_18","VE_25","trioML",0.0558,0,0.5129
"38",140,"VE_27","VE_29","trioML",0.0163,0,0.6002
"39",138,"VE_26","VE_32","trioML",0,0,0
"40",64,"VE_19","VE_21","trioML",0,0,0.4107
"41",150,"VE_29","VE_32","trioML",0,0,0
"42",59,"VE_18","VE_29","trioML",0,0,0.5
"43",73,"VE_19","VE_30","trioML",0,0,0.5
"44",79,"VE_20","VE_24","trioML",0,0,0.5
"45",72,"VE_19","VE_29","trioML",0.0167,0,0.6484
"46",5,"VE_15","VE_20","trioML",0,0,0
"47",69,"VE_19","VE_26","trioML",0,0,0.5
"48",148,"VE_29","VE_30","trioML",0,0,0.5753
"49",89,"VE_21","VE_23","trioML",0.0116,0,0.5
"50",128,"VE_25","VE_28","trioML",0.0794,0,0.586
"51",112,"VE_23","VE_27","trioML",0.004,0,0.5
"52",94,"VE_21","VE_28","trioML",0,0,0.4155
"53",29,"VE_16","VE_28","trioML",0,0,0.2733
"54",116,"VE_23","VE_31","trioML",0,0,0.0809
"55",93,"VE_21","VE_27","trioML",0,0,0.5
"56",34,"VE_17","VE_18","trioML",0,0,0.5429
"57",71,"VE_19","VE_28","trioML",0,0,0.332
"58",26,"VE_16","VE_25","trioML",0,0,0.2716
"59",46,"VE_17","VE_30","trioML",0,0,0.5
"60",152,"VE_30","VE_32","trioML",0,0,0.5
"61",39,"VE_17","VE_23","trioML",0,0,0.5
"62",84,"VE_20","VE_29","trioML",0.102,0,0.5873
"63",81,"VE_20","VE_26","trioML",0,0,0.6902
"64",27,"VE_16","VE_26","trioML",0,0,0.375
"65",65,"VE_19","VE_22","trioML",0,0,0.3683
"66",105,"VE_22","VE_29","trioML",0,0,0.6559
"67",143,"VE_27","VE_32","trioML",0,0,0.5
"68",23,"VE_16","VE_22","trioML",0,0,0.3814
"69",85,"VE_20","VE_30","trioML",0.2043,0,0.6891
"70",58,"VE_18","VE_28","trioML",0.1244,0,0.7656
"71",54,"VE_18","VE_24","trioML",0.0968,0,0.7887
"72",60,"VE_18","VE_30","trioML",0.1003,0,0.8009
"73",131,"VE_25","VE_31","trioML",0,0,0.5
"74",28,"VE_16","VE_27","trioML",0.108,0,0.5
"75",74,"VE_19","VE_31","trioML",0,0,0.3104
"76",119,"VE_24","VE_26","trioML",0,0,0.3486
"77",111,"VE_23","VE_26","trioML",0.0641,0,0.502
"78",10,"VE_15","VE_25","trioML",0.0606,0,0.5
"79",144,"VE_28","VE_29","trioML",0,0,0.6
"80",38,"VE_17","VE_22","trioML",0,0,0.5
"81",82,"VE_20","VE_27","trioML",0.2456,0,0.6865
"82",125,"VE_24","VE_32","trioML",0,0,0.5
"83",61,"VE_18","VE_31","trioML",0,0,0.5
"84",101,"VE_22","VE_25","trioML",0.0311,0,0.556
"85",102,"VE_22","VE_26","trioML",0,0,0.4093
"86",35,"VE_17","VE_19","trioML",0.029,0,0.6251
"87",133,"VE_26","VE_27","trioML",0.1614,0,0.7045
"88",4,"VE_15","VE_19","trioML",0,0,0
"89",66,"VE_19","VE_23","trioML",0,0,0.5
"90",149,"VE_29","VE_31","trioML",0,0,0.5
"91",137,"VE_26","VE_31","trioML",0,0,0.6263
"92",88,"VE_21","VE_22","trioML",0,0,0.1778
"93",153,"VE_31","VE_32","trioML",0,0,0
"94",44,"VE_17","VE_28","trioML",0,0,0.6165
"95",90,"VE_21","VE_24","trioML",0,0,0.5
"96",31,"VE_16","VE_30","trioML",0.0359,0,0.7058
"97",123,"VE_24","VE_30","trioML",0.1932,0,0.7683
"98",76,"VE_20","VE_21","trioML",0.1296,0,0.524
"99",20,"VE_16","VE_19","trioML",0.0699,0,0.7136
"100",8,"VE_15","VE_23","trioML",0.1324,0,0.6841
"101",33,"VE_16","VE_32","trioML",0,0,0.041
"102",75,"VE_19","VE_32","trioML",0,0,0.1122
"103",147,"VE_28","VE_32","trioML",0.1812,0,0.5777
"104",95,"VE_21","VE_29","trioML",0,0,0.6948
"105",41,"VE_17","VE_25","trioML",0.0313,0,0.8356
"106",107,"VE_22","VE_31","trioML",0,0,0.5
"107",1,"VE_15","VE_16","trioML",0,0,0.095
"108",12,"VE_15","VE_27","trioML",0.2588,0,0.5
"109",77,"VE_20","VE_22","trioML",0.05,0,0.5
"110",37,"VE_17","VE_21","trioML",0,0,0.5617
"111",142,"VE_27","VE_31","trioML",0.2693,0,0.6214
"112",56,"VE_18","VE_26","trioML",0.1784,0,0.6611
"113",124,"VE_24","VE_31","trioML",0.0256,0,0.6436
"114",92,"VE_21","VE_26","trioML",0,0,0.5
"115",13,"VE_15","VE_28","trioML",0.0679,0,0.5
"116",100,"VE_22","VE_24","trioML",0.1504,0,0.8126
"117",22,"VE_16","VE_21","trioML",0,0,0.4868
"118",117,"VE_23","VE_32","trioML",0.2773,0,0.7204
"119",47,"VE_17","VE_31","trioML",0,0,0.6071
"120",15,"VE_15","VE_30","trioML",0,0,0.5
"121",132,"VE_25","VE_32","trioML",0.2514,0.0379,0.844
"122",42,"VE_17","VE_26","trioML",0.1165,0,0.5
"123",108,"VE_22","VE_32","trioML",0.1528,0,0.8333
"124",48,"VE_17","VE_32","trioML",0,0,0.5
"125",145,"VE_28","VE_30","trioML",0.1875,0,0.763
"126",11,"VE_15","VE_26","trioML",0,0,0.5
"127",7,"VE_15","VE_22","trioML",0,0,0.5
"128",14,"VE_15","VE_29","trioML",0,0,0.5302
"129",121,"VE_24","VE_28","trioML",0.3456,0,0.8256
"130",98,"VE_21","VE_32","trioML",0.0588,0,0.6519
"131",110,"VE_23","VE_25","trioML",0.3681,0.0297,0.6412
"132",52,"VE_18","VE_22","trioML",0.3308,0.1139,0.7977
"133",151,"VE_30","VE_31","trioML",0.3053,0,0.8187
"134",30,"VE_16","VE_29","trioML",0.2708,0,0.6564
"135",86,"VE_20","VE_31","trioML",0.4012,0.1223,0.7875
"136",9,"VE_15","VE_24","trioML",0,0,0.5126
"137",68,"VE_19","VE_25","trioML",0.1374,0,0.6831
"138",106,"VE_22","VE_30","trioML",0.5,0,0.8059
"139",25,"VE_16","VE_24","trioML",0.4175,0,0.7202
"140",21,"VE_16","VE_20","trioML",0.5,0.4275,0.7288
"141",32,"VE_16","VE_31","trioML",0.4051,0,0.6437
"142",2,"VE_15","VE_17","trioML",0.1246,0,0.6568
"143",16,"VE_15","VE_31","trioML",0.0013,0,0.6231
"144",122,"VE_24","VE_29","trioML",0.3418,0,0.6812
"145",18,"VE_16","VE_17","trioML",0.2785,0,0.694
"146",40,"VE_17","VE_24","trioML",0.5,0,0.8295
"147",6,"VE_15","VE_21","trioML",0.1711,0,0.7767
"148",96,"VE_21","VE_30","trioML",0.5,0,0.867
"149",135,"VE_26","VE_29","trioML",0.5,0.5,0.8639
"150",17,"VE_15","VE_32","trioML",0.3855,0.1479,0.9679
"151",97,"VE_21","VE_31","trioML",0.3047,0,0.8321
"152",45,"VE_17","VE_29","trioML",0.41,0.0513,0.9014
"153",104,"VE_22","VE_28","trioML",0.5234,0.5,1
"154",139,"VE_27","VE_28","wang",-0.9209,-2.2116,0.06
"155",78,"VE_20","VE_23","wang",-0.8825,-1.7504,-0.076
"156",141,"VE_27","VE_30","wang",-0.8346,-1.4785,0.035
"157",57,"VE_18","VE_27","wang",-0.7616,-1.7114,-0.03
"158",120,"VE_24","VE_27","wang",-0.7371,-1.4818,0.2093
"159",113,"VE_23","VE_28","wang",-0.6884,-1.5651,0.143
"160",115,"VE_23","VE_30","wang",-0.6732,-1.4537,0.1842
"161",62,"VE_18","VE_32","wang",-0.6327,-1.3944,0.0994
"162",91,"VE_21","VE_25","wang",-0.5754,-1.2573,0.2577
"163",130,"VE_25","VE_30","wang",-0.5647,-1.3139,0.5904
"164",109,"VE_23","VE_24","wang",-0.548,-1.3523,0.7092
"165",49,"VE_18","VE_19","wang",-0.5235,-1.4213,0.2314
"166",114,"VE_23","VE_29","wang",-0.5133,-1.2434,0.1101
"167",63,"VE_19","VE_20","wang",-0.5053,-1.4181,0.3143
"168",80,"VE_20","VE_25","wang",-0.4715,-1.2446,0.1172
"169",36,"VE_17","VE_20","wang",-0.4597,-1.1838,0.2778
"170",24,"VE_16","VE_23","wang",-0.4369,-1.0877,0.2427
"171",53,"VE_18","VE_23","wang",-0.4248,-1.6418,0.8492
"172",146,"VE_28","VE_31","wang",-0.4087,-1.1818,0.2931
"173",83,"VE_20","VE_28","wang",-0.399,-1.0932,0.2962
"174",50,"VE_18","VE_20","wang",-0.3946,-1.2699,0.3468
"175",51,"VE_18","VE_21","wang",-0.3857,-1.3729,0.2194
"176",19,"VE_16","VE_18","wang",-0.3689,-0.9599,0.4638
"177",134,"VE_26","VE_28","wang",-0.3663,-1.1572,0.3236
"178",70,"VE_19","VE_27","wang",-0.3622,-1.1545,0.2936
